City,City ID,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
port alfred,964432,0,ZA,"July 24, 2018",59,-33.59,26.89,69.42,13.56
esperance,3573739,20,TT,"July 23, 2018",94,10.24,-61.45,77.0,5.84
port-cartier,6111696,90,CA,"July 24, 2018",100,50.03,-66.88,62.6,4.7
terrace,6162949,5,CA,"July 24, 2018",55,54.52,-128.61,64.4,3.36
tilichiki,2120591,88,RU,"July 24, 2018",84,60.47,166.1,54.66,6.29
golovino,560646,56,RU,"July 24, 2018",81,55.95,40.44,67.44,11.99
mehamn,778707,75,NO,"July 23, 2018",76,71.03,27.85,57.2,6.93
mataura,6201424,0,NZ,"July 24, 2018",88,-46.19,168.86,38.55,7.74
puerto ayora,3652764,88,EC,"July 24, 2018",100,-0.74,-90.35,71.4,10.76
paamiut,3421193,92,GL,"July 24, 2018",96,61.99,-49.67,40.08,5.06
toora-khem,1489401,8,RU,"July 24, 2018",51,52.47,96.11,78.06,2.37
soledade,3387258,75,BR,"July 23, 2018",100,-7.06,-36.37,66.2,10.29
mataram,1630639,24,ID,"July 24, 2018",56,-5.32,105.06,89.67,3.15
aykhal,2027296,32,RU,"July 24, 2018",48,65.95,111.51,63.03,8.63
basoko,219414,80,CD,"July 24, 2018",95,1.23,23.61,73.83,3.83
monchique,2266268,0,PT,"July 24, 2018",72,37.32,-8.56,66.2,3.36
vaini,1273574,100,IN,"July 24, 2018",99,15.34,74.49,72.66,9.42
khabary,1503856,64,RU,"July 24, 2018",87,53.63,79.53,60.06,4.61
hermanus,3366880,20,ZA,"July 24, 2018",82,-34.42,19.24,51.69,4.27
barrow,3833859,0,AR,"July 24, 2018",62,-38.31,-60.23,32.25,8.41
qaanaaq,3831208,32,GL,"July 24, 2018",100,77.48,-69.36,34.5,4.16
rikitea,4030556,76,PF,"July 24, 2018",99,-23.12,-134.97,74.55,13.89
nargana,3703946,92,PA,"July 24, 2018",100,9.44,-78.59,78.06,4.16
rawson,3839307,0,AR,"July 24, 2018",88,-43.3,-65.11,27.21,3.71
codrington,2160063,0,AU,"July 24, 2018",75,-28.95,153.24,66.36,3.27
lebu,344979,75,ET,"July 24, 2018",87,8.96,38.73,59.0,4.7
busselton,2075265,48,AU,"July 24, 2018",99,-33.64,115.35,63.3,14.67
santa isabel do rio negro,3662489,64,BR,"July 24, 2018",98,-0.41,-65.02,74.46,2.37
punta arenas,3874787,0,CL,"July 23, 2018",65,-53.16,-70.91,41.0,19.46
benghazi,88319,75,LY,"July 23, 2018",70,32.12,20.07,84.2,23.04
airai,1651810,0,TL,"July 24, 2018",28,-8.93,125.41,83.01,1.25
okha,2122614,8,RU,"July 24, 2018",60,53.59,142.95,67.26,7.29
chokurdakh,2126123,0,RU,"July 24, 2018",71,70.62,147.9,50.61,18.25
roswell,5488441,1,US,"July 23, 2018",39,33.39,-104.52,82.4,10.29
colon,5068725,1,US,"July 23, 2018",93,41.3,-96.61,71.6,5.82
itarema,3393692,12,BR,"July 24, 2018",78,-2.92,-39.92,77.34,14.12
bayan,2030079,0,MN,"July 24, 2018",75,47.25,107.54,73.83,6.17
moose jaw,6078112,5,CA,"July 24, 2018",87,50.4,-105.54,48.2,5.82
new norfolk,2155415,75,AU,"July 24, 2018",81,-42.78,147.06,48.2,10.29
ixtapa,4004293,75,MX,"July 23, 2018",100,20.71,-105.21,84.2,6.93
torbay,6167817,90,CA,"July 24, 2018",100,47.66,-52.73,53.6,5.82
butaritari,2110227,20,KI,"July 24, 2018",100,3.07,172.79,84.81,10.65
geraldton,5960603,5,CA,"July 24, 2018",93,49.72,-86.95,59.0,6.93
arkhangelsk,581049,20,RU,"July 23, 2018",57,64.54,40.54,77.0,6.71
ushuaia,3833367,32,AR,"July 24, 2018",95,-54.81,-68.31,39.0,20.04
berlevag,780687,75,NO,"July 23, 2018",76,70.86,29.09,57.2,6.93
kavaratti,1267390,92,IN,"July 24, 2018",95,10.57,72.64,83.19,23.51
mayumba,2399001,92,GA,"July 24, 2018",97,-3.44,10.65,69.51,7.74
tuy hoa,1563281,64,VN,"July 24, 2018",60,13.08,109.3,92.91,16.02
namibe,3347019,80,AO,"July 24, 2018",100,-15.19,12.15,66.45,5.61
albany,5106834,20,US,"July 23, 2018",78,42.65,-73.75,75.2,8.05
ajaccio,6452235,0,FR,"July 24, 2018",57,41.93,8.74,84.2,2.24
thompson,6165406,90,CA,"July 24, 2018",93,55.74,-97.86,55.4,13.87
bluff,2175403,0,AU,"July 24, 2018",29,-23.58,149.07,77.52,4.5
glendive,5654391,75,US,"July 23, 2018",82,47.11,-104.71,64.4,7.4
itaituba,3397967,92,BR,"July 24, 2018",58,-4.26,-55.99,80.76,3.94
vanavara,2013727,0,RU,"July 24, 2018",45,60.35,102.28,66.99,5.95
ihosy,1064275,48,MG,"July 24, 2018",68,-22.4,46.13,60.96,10.2
victoria,1733782,75,BN,"July 24, 2018",79,5.28,115.24,91.4,3.36
kahului,5847411,40,US,"July 23, 2018",74,20.89,-156.47,80.6,12.75
camacha,2270385,40,PT,"July 24, 2018",77,33.08,-16.33,69.8,2.24
galesong,1644605,40,ID,"July 24, 2018",55,-5.32,119.37,87.8,6.93
saint-philippe,6138908,40,CA,"July 24, 2018",78,45.36,-73.48,77.0,12.75
avarua,4035715,75,CK,"July 24, 2018",88,-21.21,-159.78,71.6,6.93
arraial do cabo,3471451,0,BR,"July 23, 2018",88,-22.97,-42.02,68.0,3.36
moerai,4034188,20,PF,"July 24, 2018",96,-22.43,-151.33,76.89,0.92
solnechnyy,2016307,0,RU,"July 24, 2018",75,50.72,136.64,77.07,3.71
yumen,1528998,0,CN,"July 24, 2018",21,40.29,97.04,92.55,14.0
mahajanga,1062663,0,MG,"July 23, 2018",44,-15.72,46.32,75.2,16.11
bredasdorp,1015776,24,ZA,"July 24, 2018",93,-34.53,20.04,50.0,16.46
bada,2322495,32,NG,"July 24, 2018",95,12.41,4.51,72.93,5.95
cidreira,3466165,92,BR,"July 24, 2018",100,-30.17,-50.22,51.6,7.4
nikolskoye,546105,0,RU,"July 23, 2018",78,59.7,30.79,73.4,4.47
yar-sale,1486321,8,RU,"July 24, 2018",65,66.83,70.83,68.07,8.19
joshimath,1268814,44,IN,"July 24, 2018",100,30.57,79.57,40.89,0.58
dunedin,2191562,32,NZ,"July 24, 2018",100,-45.87,170.5,37.11,4.38
haines junction,5969025,0,CA,"July 24, 2018",41,60.75,-137.51,61.32,2.71
hami,1529484,0,CN,"July 24, 2018",27,42.84,93.51,103.8,10.65
aasiaat,3424901,80,GL,"July 24, 2018",100,68.71,-52.87,39.99,11.43
dikson,1507390,92,RU,"July 24, 2018",90,73.51,80.55,47.37,38.61
kapaa,5848280,75,US,"July 23, 2018",83,22.08,-159.32,80.6,12.75
pevek,2122090,48,RU,"July 24, 2018",59,69.7,170.27,59.97,16.91
general roca,3855065,0,AR,"July 23, 2018",92,-39.03,-67.58,28.4,2.24
hobart,2163355,75,AU,"July 24, 2018",81,-42.88,147.33,48.2,10.29
mamontovo,1499428,8,RU,"July 24, 2018",84,52.71,81.63,61.77,4.83
jaffna,1242833,0,LK,"July 24, 2018",90,9.67,80.01,85.71,9.64
palmer,2067070,75,AU,"July 24, 2018",82,-34.85,139.16,59.0,13.87
saskylakh,2017155,0,RU,"July 24, 2018",79,71.97,114.09,46.29,7.63
khatanga,2022572,0,RU,"July 24, 2018",76,71.98,102.47,51.33,10.76
cayenne,3382160,90,GF,"July 23, 2018",100,4.94,-52.33,73.4,5.73
dingle,1714733,64,PH,"July 24, 2018",83,11.0,122.67,83.01,9.86
datong,2037799,68,CN,"July 24, 2018",75,40.09,113.3,78.69,2.93
hearst,5973108,44,CA,"July 24, 2018",96,49.69,-83.67,61.05,2.37
saint-joseph,3037456,0,FR,"July 24, 2018",61,43.56,6.97,80.6,3.36
griffith,2164422,0,AU,"July 24, 2018",67,-34.29,146.06,60.06,12.33
ribeira grande,3372707,40,PT,"July 24, 2018",88,38.52,-28.7,66.2,5.82
jamestown,2069194,0,AU,"July 24, 2018",43,-33.21,138.6,61.14,16.13
aksarka,1512019,0,RU,"July 24, 2018",38,66.56,67.8,83.01,10.76
yellowknife,6185377,20,CA,"July 24, 2018",76,62.45,-114.38,55.4,2.24
naze,2337542,75,NG,"July 24, 2018",94,5.43,7.07,77.0,4.38
urbano santos,3385726,12,BR,"July 24, 2018",92,-3.2,-43.39,74.19,5.39
moree,2156927,0,AU,"July 24, 2018",57,-29.46,149.84,66.45,3.38
bonnyville,5905616,75,CA,"July 24, 2018",76,54.27,-110.74,57.2,4.7
atuona,4020109,0,PF,"July 24, 2018",99,-9.8,-139.03,80.22,19.48
del rio,5520076,1,US,"July 23, 2018",31,29.36,-100.9,89.6,5.82
hilo,5855927,75,US,"July 23, 2018",83,19.71,-155.08,78.8,15.23
parati,3467747,0,BR,"July 23, 2018",77,-20.51,-54.63,64.4,6.93
hithadhoo,1282256,92,MV,"July 24, 2018",100,-0.6,73.08,78.42,18.25
methoni,257122,40,GR,"July 23, 2018",54,36.82,21.7,84.2,11.41
keuruu,652977,0,FI,"July 23, 2018",44,62.26,24.71,78.8,4.7
brae,2654970,75,GB,"July 23, 2018",93,60.4,-1.35,55.4,8.05
tsumeb,3352593,0,NA,"July 23, 2018",86,-19.25,17.72,39.2,2.24
bethel,5880568,75,US,"July 23, 2018",77,60.79,-161.76,59.0,5.82
flin flon,5954718,92,CA,"July 24, 2018",92,54.77,-101.88,57.72,11.99
mar del plata,3863379,32,AR,"July 24, 2018",70,-46.43,-67.52,42.33,14.45
hofn,2630299,80,IS,"July 24, 2018",100,64.25,-15.21,47.91,7.63
kailua,5847486,90,US,"July 23, 2018",78,21.39,-157.74,82.4,8.05
ponta do sol,3453439,0,BR,"July 24, 2018",83,-20.63,-46.0,50.34,3.38
cape town,3369157,40,ZA,"July 24, 2018",93,-33.93,18.42,53.6,5.82
karratha,6620339,0,AU,"July 24, 2018",23,-20.74,116.85,83.64,5.73
salalah,286621,90,OM,"July 23, 2018",83,17.01,54.1,80.6,4.7
riva,4366877,75,US,"July 24, 2018",88,38.95,-76.58,77.0,14.99
orodara,2577164,0,BF,"July 24, 2018",83,10.98,-4.92,78.8,5.82
zabid,69559,56,YE,"July 24, 2018",57,14.2,44.5,68.34,3.49
longyearbyen,2729907,75,NO,"July 23, 2018",87,78.22,15.63,46.4,2.24
castro,3896218,12,CL,"July 24, 2018",99,-42.48,-73.76,29.82,3.6
luderitz,3355672,0,NA,"July 24, 2018",79,-26.65,15.16,53.49,6.29
tasiilaq,3424607,0,GL,"July 23, 2018",61,65.61,-37.64,46.4,9.17
rongcheng,1786855,92,CN,"July 24, 2018",87,37.16,122.42,82.02,16.8
kaitangata,2208248,12,NZ,"July 24, 2018",87,-46.28,169.85,40.44,11.77
bandarbeyla,64814,0,SO,"July 24, 2018",74,9.49,50.81,78.06,28.99
skibbereen,2961459,75,IE,"July 23, 2018",82,51.55,-9.27,59.0,5.82
mugur-aksy,1498283,64,RU,"July 24, 2018",30,50.38,90.44,68.7,3.71
faanui,4034551,76,PF,"July 24, 2018",99,-16.48,-151.75,80.31,15.23
fare,4034496,88,PF,"July 24, 2018",98,-16.7,-151.02,79.68,13.44
ojinaga,3994469,0,US,"July 24, 2018",26,29.56,-104.41,83.46,9.75
bambous virieux,1106677,40,MU,"July 23, 2018",53,-20.34,57.76,75.2,21.92
klaksvik,2618795,75,FO,"July 23, 2018",93,62.23,-6.59,51.8,10.29
los llanos de aridane,2514651,20,ES,"July 24, 2018",68,28.66,-17.92,69.8,10.29
vardo,4372777,1,US,"July 23, 2018",94,39.62,-77.74,77.0,3.36
keetmanshoop,3356264,0,NA,"July 24, 2018",66,-26.57,18.15,44.13,8.86
constantine,2501152,0,DZ,"July 24, 2018",46,36.36,6.61,71.6,2.24
newport,2641598,68,GB,"July 23, 2018",82,51.59,-3.0,68.0,5.82
taltal,3870243,20,CL,"July 24, 2018",88,-25.41,-70.49,46.2,3.71
thaton,1292288,92,MM,"July 24, 2018",100,16.91,97.37,78.69,11.99
hamilton,5969785,90,CA,"July 24, 2018",94,43.26,-79.87,71.6,8.05
sao filipe,3374210,88,CV,"July 24, 2018",100,14.9,-24.5,75.18,5.39
springbok,3361142,0,ZA,"July 24, 2018",63,-29.67,17.88,41.16,3.83
peterhead,2078025,75,AU,"July 24, 2018",82,-34.83,138.5,59.0,13.87
east london,1006984,0,ZA,"July 24, 2018",30,-33.02,27.91,71.6,11.41
san lorenzo,3437056,88,PY,"July 24, 2018",75,-25.34,-57.51,54.57,11.88
senanga,898947,0,ZM,"July 24, 2018",62,-16.1,23.3,52.05,8.75
ubata,3445849,92,BR,"July 24, 2018",95,-14.21,-39.52,66.54,5.95
grindavik,3416888,75,IS,"July 23, 2018",93,63.84,-22.43,50.0,1.12
manggar,1636426,56,ID,"July 24, 2018",72,-2.88,108.27,87.06,14.23
wana,1162634,0,PK,"July 24, 2018",53,32.31,69.59,85.17,3.15
katsuura,1865309,20,JP,"July 23, 2018",50,33.93,134.5,95.0,4.7
husavik,5961417,8,CA,"July 24, 2018",82,50.56,-96.99,62.4,10.2
zhigansk,2012530,88,RU,"July 24, 2018",44,66.77,123.37,57.99,8.41
krasnooktyabrskiy,584441,0,RU,"July 23, 2018",65,44.93,38.37,78.8,8.95
baiao,3406844,80,BR,"July 24, 2018",58,-2.79,-49.67,85.53,4.72
rusape,882100,24,ZW,"July 24, 2018",93,-18.53,32.12,52.14,5.84
kearney,5071348,1,US,"July 23, 2018",87,40.7,-99.08,64.4,2.48
coquimbo,3893629,90,CL,"July 23, 2018",93,-29.95,-71.34,48.2,3.36
shimoda,1852357,75,JP,"July 23, 2018",74,34.7,138.93,87.8,6.93
worthington,5053460,1,US,"July 23, 2018",93,43.62,-95.6,64.4,4.7
qaqortoq,3420846,75,GL,"July 23, 2018",70,60.72,-46.03,46.4,2.24
port blair,1259385,24,IN,"July 24, 2018",100,11.67,92.75,82.2,17.47
upata,3625710,64,VE,"July 24, 2018",99,8.02,-62.41,71.13,3.27
lashio,1314759,92,MM,"July 24, 2018",99,22.93,97.75,70.95,2.15
namatanai,2090021,32,PG,"July 24, 2018",99,-3.66,152.44,82.83,6.62
vila,3164565,0,IT,"July 24, 2018",57,45.18,8.4,77.0,3.36
homer,5864145,90,US,"July 23, 2018",72,59.64,-151.54,60.8,4.7
pamatawan,1695909,75,PH,"July 24, 2018",83,14.93,120.21,86.0,9.17
kodiak,4407665,1,US,"July 23, 2018",93,39.95,-94.76,66.2,5.17
mokolo,2226275,92,CM,"July 24, 2018",92,10.74,13.8,70.23,4.38
nouadhibou,2377457,75,MR,"July 24, 2018",88,20.93,-17.03,66.2,17.22
purpe,1539210,0,RU,"July 24, 2018",50,64.48,76.69,65.28,11.43
mpika,905846,0,ZM,"July 24, 2018",72,-11.84,31.4,51.69,10.98
tiksi,2015306,8,RU,"July 24, 2018",76,71.64,128.87,45.66,6.4
abu samrah,172515,0,SY,"July 24, 2018",52,35.3,37.18,84.36,8.63
barcelos,2742416,40,PT,"July 24, 2018",88,41.53,-8.62,68.0,1.12
cabo san lucas,3985710,0,MX,"July 24, 2018",100,22.89,-109.91,80.76,11.65
vila franca do campo,3372472,40,PT,"July 24, 2018",88,37.72,-25.43,69.8,4.7
ostrovnoy,556268,20,RU,"July 24, 2018",64,68.05,39.51,77.34,6.17
morondava,1058381,0,MG,"July 24, 2018",70,-20.3,44.28,73.74,9.64
bima,1648759,8,ID,"July 24, 2018",55,-8.45,118.73,85.98,4.94
pisco,3932145,90,PE,"July 23, 2018",82,-13.71,-76.2,62.6,3.36
katobu,1640972,64,ID,"July 24, 2018",81,-4.94,122.53,84.36,4.72
puerto carreno,3671519,92,CO,"July 24, 2018",99,6.19,-67.49,67.71,2.37
dudinka,1507116,32,RU,"July 24, 2018",47,69.41,86.18,58.17,12.21
ambilobe,1082243,0,MG,"July 24, 2018",45,-13.19,49.05,78.33,17.81
puerto escondido,3520994,32,MX,"July 24, 2018",100,15.86,-97.07,83.46,1.7
grand forks,5059429,1,US,"July 23, 2018",100,47.91,-97.06,59.0,5.82
muisne,3653967,76,EC,"July 24, 2018",98,0.61,-80.02,70.59,3.83
jining,1805518,0,CN,"July 24, 2018",65,35.41,116.58,96.24,5.39
muroto,1856392,20,JP,"July 23, 2018",70,33.37,134.14,89.6,9.17
lagoa,2267254,0,PT,"July 24, 2018",72,37.14,-8.45,66.2,3.36
high level,5975004,1,CA,"July 24, 2018",93,58.52,-117.13,50.0,2.71
richards bay,962367,0,ZA,"July 24, 2018",87,-28.77,32.06,61.05,9.19
tuktoyaktuk,6170031,68,CA,"July 24, 2018",89,69.44,-133.03,44.49,12.33
lasa,146639,0,CY,"July 24, 2018",74,34.92,32.53,86.0,9.17
harindanga,1349090,75,IN,"July 23, 2018",89,22.04,88.32,84.2,8.05
antofagasta,3899539,90,CL,"July 23, 2018",76,-23.65,-70.4,55.4,2.24
rybinsk,500004,92,RU,"July 24, 2018",92,58.05,38.83,62.04,14.45
hays,4272782,1,US,"July 23, 2018",83,38.88,-99.33,73.4,10.29
saint stephen,5044407,1,US,"July 23, 2018",100,45.7,-94.27,66.2,8.97
miragoane,3720824,0,HT,"July 24, 2018",100,18.44,-73.09,81.66,5.28
chuy,3443061,0,UY,"July 24, 2018",90,-33.69,-53.46,43.59,13.78
bitung,1648636,40,ID,"July 24, 2018",70,1.44,125.19,86.0,3.36
nanortalik,3421765,36,GL,"July 24, 2018",97,60.14,-45.24,38.46,17.81
jamame,56399,100,SO,"July 24, 2018",62,0.07,42.75,80.31,14.45
upernavik,3418910,92,GL,"July 24, 2018",92,72.79,-56.15,39.0,13.44
ryazan,500096,64,RU,"July 24, 2018",93,54.63,39.74,66.81,10.98
petropavlovsk-kamchatskiy,2122104,75,RU,"July 23, 2018",93,53.05,158.65,57.2,8.95
linxia,1803331,0,CN,"July 24, 2018",65,35.6,103.21,70.59,3.71
poum,787487,20,MK,"July 24, 2018",64,41.28,20.71,69.8,2.24
lompoc,5367788,90,US,"July 24, 2018",93,34.64,-120.46,59.0,12.75
qinhuangdao,1797595,92,CN,"July 24, 2018",100,39.94,119.59,74.55,13.67
opuwo,3354077,0,NA,"July 24, 2018",56,-18.06,13.84,46.47,8.08
veraval,3031871,0,FR,"July 24, 2018",64,49.65,0.71,68.0,3.36
pando,3441354,40,UY,"July 23, 2018",93,-34.72,-55.96,39.2,3.36
nyurba,2018735,92,RU,"July 24, 2018",73,63.29,118.35,58.26,3.38
dajal,1180752,48,PK,"July 24, 2018",71,29.56,70.38,93.54,5.61
mogadishu,53654,75,SO,"July 23, 2018",78,2.04,45.34,78.8,12.75
beloha,1067565,0,MG,"July 24, 2018",62,-25.17,45.06,69.06,11.77
padang,1633419,44,ID,"July 24, 2018",100,-0.92,100.36,83.19,6.17
conde,3465713,36,BR,"July 24, 2018",91,-11.81,-37.61,72.48,9.19
jutai,3388869,36,BR,"July 24, 2018",87,-1.71,-47.89,77.52,4.27
safranbolu,740430,75,TR,"July 24, 2018",69,41.25,32.69,80.6,8.05
pacifica,5380420,90,US,"July 24, 2018",87,37.61,-122.49,64.4,5.82
san patricio,3437029,92,PY,"July 24, 2018",79,-26.98,-56.83,52.5,6.85
mirebalais,3720811,0,HT,"July 24, 2018",100,18.83,-72.1,66.54,2.93
provideniya,4031574,75,RU,"July 23, 2018",87,64.42,-173.23,57.2,15.66
aklavik,5882953,75,CA,"July 24, 2018",72,68.22,-135.01,66.2,9.17
vestmannaeyjar,3412093,75,IS,"July 24, 2018",93,63.44,-20.27,50.0,5.82
nishihara,1850144,20,JP,"July 23, 2018",67,35.74,139.53,96.8,9.17
ossora,2122389,76,RU,"July 24, 2018",91,59.24,163.07,57.99,10.87
ilulissat,3423146,92,GL,"July 23, 2018",87,69.22,-51.1,42.8,3.36
yaring,1604771,75,TH,"July 23, 2018",74,6.87,101.37,86.0,6.93
zabol,1113217,0,IR,"July 23, 2018",14,31.03,61.49,109.4,31.09
jawhar,1269106,92,IN,"July 24, 2018",100,19.91,73.23,75.72,10.09
maniitsoq,3421982,92,GL,"July 24, 2018",100,65.42,-52.9,38.64,8.97
angoche,1052944,64,MZ,"July 24, 2018",97,-16.23,39.91,77.52,14.45
norman wells,6089245,20,CA,"July 24, 2018",46,65.28,-126.83,73.4,5.82
tuatapere,2180815,0,NZ,"July 24, 2018",100,-46.13,167.69,40.89,7.96
puerto del rosario,2512186,75,ES,"July 24, 2018",78,28.5,-13.86,71.6,17.22
trofors,3133983,75,NO,"July 23, 2018",87,65.54,13.39,64.4,2.24
saint george,262462,75,GR,"July 23, 2018",57,39.45,22.34,75.2,6.93
anderson,4569298,20,US,"July 23, 2018",88,34.51,-82.65,69.8,4.7
sarh,2425791,20,TD,"July 23, 2018",94,9.14,18.39,73.4,2.24
souillac,3026644,0,FR,"July 24, 2018",64,45.6,-0.6,73.4,2.24
atar,2381334,0,MR,"July 24, 2018",42,20.52,-13.05,78.69,8.86
coaticook,5924500,1,CA,"July 24, 2018",94,45.13,-71.8,69.8,4.7
clyde river,5924351,90,CA,"July 24, 2018",74,70.47,-68.59,35.6,33.33
talnakh,1490256,8,RU,"July 24, 2018",61,69.49,88.39,54.39,8.63
dwarka,1273294,75,IN,"July 23, 2018",63,28.58,77.04,93.2,5.82
don sak,1116760,20,TH,"July 23, 2018",59,9.32,99.69,91.4,10.29
felanitx,2517750,0,ES,"July 24, 2018",61,39.47,3.15,77.0,2.24
luanda,2240449,90,AO,"July 23, 2018",88,-8.83,13.24,68.0,2.24
puerto madryn,3840092,0,AR,"July 24, 2018",94,-42.77,-65.04,42.06,13.78
cherskiy,2126199,56,RU,"July 24, 2018",73,68.75,161.3,56.28,9.19
hualmay,3939761,20,PE,"July 24, 2018",100,-11.1,-77.61,54.21,1.48
caxias,3391489,0,BR,"July 23, 2018",83,-4.87,-43.35,75.2,3.36
severo-kurilsk,2121385,92,RU,"July 24, 2018",95,50.68,156.12,53.67,11.99
khiri mat,1152876,75,TH,"July 23, 2018",66,16.83,99.8,87.8,5.82
kruisfontein,986717,24,ZA,"July 24, 2018",49,-34.0,24.73,69.6,11.99
vao,588365,88,EE,"July 24, 2018",87,59.1,26.19,68.43,3.71
kantang,1153072,20,TH,"July 23, 2018",55,7.42,99.52,91.4,13.87
margate,2158744,75,AU,"July 24, 2018",81,-43.03,147.26,48.2,10.29
corrente,3445459,0,BR,"July 24, 2018",80,-17.45,-44.68,56.73,6.85
pyinmana,1298987,92,MM,"July 24, 2018",100,19.74,96.21,73.29,2.93
saint-augustin,3031582,0,FR,"July 24, 2018",73,44.83,-0.61,73.4,1.12
