City,City ID,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
soyo,2236967,92,AO,"July 24, 2018",92,-6.13,12.37,68.79,4.05
garowe,58933,0,SO,"July 24, 2018",52,8.41,48.48,80.85,21.83
nome,4732862,75,US,"July 23, 2018",83,30.04,-94.42,84.2,8.05
custodia,3401138,20,BR,"July 24, 2018",94,-8.09,-37.64,62.94,9.19
canmore,5914894,90,CA,"July 24, 2018",93,51.09,-115.35,51.8,3.36
flinders,6255012,0,AU,"July 23, 2018",25,-34.58,150.85,66.2,16.11
myitkyina,1307741,92,MM,"July 24, 2018",100,25.38,97.4,75.09,2.82
fuerte,1713558,92,PH,"July 24, 2018",94,17.54,120.36,76.71,2.59
el progreso,3610613,20,HN,"July 23, 2018",94,15.4,-87.81,80.6,4.7
yerbogachen,2012956,76,RU,"July 24, 2018",64,61.28,108.01,63.93,4.94
repelon,3670874,75,CO,"July 23, 2018",88,10.49,-75.13,80.6,5.82
lovozero,533933,8,RU,"July 24, 2018",56,68.01,35.02,73.29,3.15
mirabad,1160571,0,IR,"July 24, 2018",18,28.27,61.33,97.23,8.52
pundaguitan,1698289,80,PH,"July 24, 2018",94,6.37,126.17,86.07,4.38
tazovskiy,1489853,68,RU,"July 24, 2018",52,67.47,78.7,60.06,4.61
georgetown,3378644,75,GY,"July 23, 2018",94,6.8,-58.16,77.0,6.4
hasaki,2112802,20,JP,"July 23, 2018",70,35.73,140.83,89.6,11.41
ust-barguzin,2013986,0,RU,"July 24, 2018",56,53.41,109.03,74.64,2.37
eskilstuna,2715953,0,SE,"July 23, 2018",68,59.37,16.51,73.4,6.93
ust-maya,2013918,92,RU,"July 24, 2018",82,60.42,134.54,57.81,3.6
abrau-dyurso,584365,0,RU,"July 23, 2018",61,44.7,37.6,82.4,4.47
ban phai,1607418,36,TH,"July 24, 2018",75,16.55,102.46,89.04,10.42
portland,5746545,20,US,"July 23, 2018",47,45.52,-122.67,75.2,8.05
caravelas,3466980,88,BR,"July 24, 2018",100,-17.73,-39.27,74.46,13.33
khakhea,933649,0,BW,"July 24, 2018",86,-24.69,23.5,45.66,8.41
touros,3386213,0,BR,"July 24, 2018",90,-5.2,-35.46,74.1,15.01
freeport,3572375,48,BS,"July 24, 2018",100,26.54,-78.7,78.96,14.79
fortuna,2517679,0,ES,"July 24, 2018",50,38.18,-1.13,78.8,3.36
maturin,3778045,75,VE,"July 23, 2018",100,9.75,-63.18,75.2,6.17
sychevka,485280,44,RU,"July 24, 2018",94,55.83,34.27,65.19,8.97
napasar,1261882,56,IN,"July 24, 2018",83,27.97,73.56,89.67,6.29
isangel,2136825,24,VU,"July 24, 2018",100,-19.55,169.27,72.03,13.67
banjar,1650233,0,ID,"July 24, 2018",53,-7.37,108.54,85.71,4.05
la ronge,6050066,90,CA,"July 24, 2018",87,55.1,-105.3,55.4,8.05
narsaq,3421719,75,GL,"July 23, 2018",70,60.91,-46.05,46.4,2.24
kutum,371745,0,SD,"July 24, 2018",60,14.2,24.66,76.71,10.87
pascagoula,4440397,40,US,"July 23, 2018",83,30.37,-88.56,80.6,5.95
hoganas,2706003,20,SE,"July 23, 2018",68,56.2,12.56,73.4,2.24
ternate,1682474,75,PH,"July 24, 2018",89,14.29,120.72,84.2,8.05
tiznit,2527089,48,MA,"July 24, 2018",100,29.7,-9.73,65.46,1.7
arlit,2447513,0,NE,"July 24, 2018",42,18.74,7.39,69.87,2.71
hanstholm,2620786,88,DK,"July 24, 2018",97,57.12,8.61,63.12,6.85
acoua,922015,20,YT,"July 23, 2018",65,-12.72,45.06,78.8,23.04
manali,1263967,88,IN,"July 24, 2018",94,32.25,77.19,38.28,0.69
gopalpur,1275719,92,IN,"July 24, 2018",91,25.6,86.94,83.01,11.21
suez,359796,0,EG,"July 24, 2018",57,29.97,32.54,83.64,2.15
port elizabeth,4501427,90,US,"July 24, 2018",88,39.31,-74.98,78.8,9.17
fairbanks,5861897,90,US,"July 23, 2018",43,64.84,-147.72,73.4,3.71
isabela,1710518,88,PH,"July 24, 2018",80,10.2,122.99,81.21,6.4
saint-louis,2978742,0,CH,"July 24, 2018",64,47.59,7.56,71.6,3.71
qidong,1806840,8,CN,"July 24, 2018",93,31.81,121.66,87.87,10.87
biak,1637001,64,ID,"July 24, 2018",95,-0.91,122.88,77.97,6.4
saldanha,2737599,0,PT,"July 24, 2018",88,41.42,-6.55,55.29,2.71
alofi,4036284,92,NU,"July 24, 2018",97,-19.06,-169.92,77.79,7.96
bathsheba,3374083,40,BB,"July 23, 2018",78,13.22,-59.52,80.6,19.46
mahibadhoo,1337605,92,MV,"July 24, 2018",100,3.78,72.97,81.84,20.49
vostok,2013279,8,RU,"July 24, 2018",77,46.45,135.83,80.94,3.27
ketchikan,5554428,1,US,"July 23, 2018",87,55.34,-131.65,60.8,3.36
coihaique,3894426,0,CL,"July 23, 2018",67,-45.58,-72.07,35.6,5.82
mahebourg,934322,40,MU,"July 23, 2018",53,-20.41,57.7,75.2,21.92
luau,876177,0,CD,"July 24, 2018",46,-10.7,22.23,58.89,6.96
broken hill,2173911,0,AU,"July 24, 2018",40,-31.97,141.45,66.9,11.88
jamay,4004126,75,MX,"July 23, 2018",82,20.29,-102.71,68.0,2.71
marystown,6067472,92,CA,"July 24, 2018",93,47.17,-55.16,59.79,4.16
jalalabad,1139715,40,AF,"July 23, 2018",44,34.43,70.46,93.2,8.05
dalbandin,1180729,8,PK,"July 24, 2018",18,28.9,64.41,103.62,7.74
te anau,2181625,0,NZ,"July 24, 2018",94,-45.41,167.72,32.34,2.48
kilrush,2965260,75,IE,"July 23, 2018",82,51.96,-8.06,59.0,5.82
samfya,899274,0,ZM,"July 24, 2018",81,-11.37,29.56,56.19,12.1
iraray,1710554,20,PH,"July 24, 2018",96,8.99,118.05,85.26,10.31
fort nelson,5955902,90,CA,"July 24, 2018",67,58.81,-122.69,59.0,2.24
chimbote,3698304,68,PE,"July 24, 2018",100,-9.08,-78.59,59.7,4.61
mareeba,2158767,75,AU,"July 24, 2018",61,-16.99,145.42,77.0,11.41
sitka,4267710,12,US,"July 24, 2018",62,37.17,-99.65,76.26,5.61
kavieng,2094342,12,PG,"July 24, 2018",100,-2.57,150.8,84.54,9.19
malur,1264010,75,IN,"July 24, 2018",83,13.01,77.94,78.8,12.75
irbeyskoye,1505529,64,RU,"July 24, 2018",86,55.64,95.45,69.96,4.94
saint-georges,6295855,36,CA,"July 24, 2018",89,46.12,-70.67,70.77,7.63
san juan,1692193,75,PH,"July 24, 2018",89,14.6,121.03,84.2,8.05
constitucion,4011743,0,MX,"July 24, 2018",42,23.99,-104.67,65.37,6.17
tateyama,1849876,75,JP,"July 23, 2018",49,36.66,137.31,93.2,9.17
san quintin,1688687,75,PH,"July 23, 2018",70,17.54,120.52,87.8,11.41
conceicao do araguaia,3401845,0,BR,"July 24, 2018",81,-8.26,-49.26,71.04,6.85
bundaberg,2173323,0,AU,"July 24, 2018",92,-24.87,152.35,68.61,2.59
myaundzha,2123100,100,RU,"July 24, 2018",62,63.05,147.18,61.5,3.04
prainha,3391287,88,BR,"July 24, 2018",100,-1.8,-53.48,73.56,2.26
komsomolskiy,1486910,0,RU,"July 24, 2018",34,67.55,63.78,84.27,11.21
kadnikov,554554,68,RU,"July 24, 2018",78,59.5,40.34,65.46,12.44
huarmey,3939168,12,PE,"July 24, 2018",96,-10.07,-78.15,53.49,1.59
cedar city,5536630,1,US,"July 23, 2018",35,37.68,-113.06,73.4,4.7
santa luzia,3450144,0,BR,"July 23, 2018",87,-19.77,-43.85,57.2,2.24
sokoni,901344,0,CD,"July 24, 2018",76,-12.89,28.78,55.83,8.97
igarka,1505991,0,RU,"July 24, 2018",55,67.47,86.57,57.09,13.0
kinkala,2258984,90,CG,"July 24, 2018",88,-4.35,14.75,69.8,4.7
leshukonskoye,535839,0,RU,"July 24, 2018",52,64.9,45.76,74.64,4.72
west odessa,5533366,1,US,"July 23, 2018",36,31.84,-102.48,82.4,14.99
guerrero negro,4021858,0,MX,"July 24, 2018",96,27.97,-114.04,69.42,6.51
lorengau,2092164,80,PG,"July 24, 2018",100,-2.02,147.27,82.65,3.27
bridlington,2654728,76,GB,"July 23, 2018",82,54.08,-0.19,69.8,1.12
san jose,1689431,92,PH,"July 24, 2018",95,15.79,120.99,76.62,1.48
xining,1788852,0,CN,"July 24, 2018",57,36.62,101.77,72.75,2.59
plaster rock,7290171,20,CA,"July 23, 2018",78,46.91,-67.4,73.4,9.17
utinga,3392998,40,BR,"July 23, 2018",88,-5.82,-35.4,71.6,9.17
mirnyy,502265,32,RU,"July 24, 2018",86,56.57,36.46,65.82,10.65
iqaluit,5983720,40,CA,"July 24, 2018",74,63.75,-68.52,35.6,19.46
peleduy,2018069,0,RU,"July 24, 2018",61,59.63,112.75,60.96,2.93
riberalta,3906466,0,BO,"July 24, 2018",73,-11.0,-66.08,69.24,4.61
kyabe,2429344,68,TD,"July 24, 2018",87,9.45,18.94,74.64,10.76
evensk,2125693,0,RU,"July 24, 2018",86,61.92,159.24,57.81,3.71
high rock,3572189,56,BS,"July 24, 2018",100,26.63,-78.28,82.83,17.02
merzifon,741609,40,TR,"July 23, 2018",50,40.87,35.46,78.8,4.7
tenenkou,2449938,24,ML,"July 24, 2018",86,14.46,-4.91,75.81,8.41
nizhniy kuranakh,2019135,12,RU,"July 24, 2018",66,58.84,125.49,62.49,2.59
syedove,694712,44,UA,"July 24, 2018",92,47.08,38.16,76.89,3.6
davila,1715335,75,PH,"July 23, 2018",70,18.47,120.58,87.8,11.41
georgiyevka,565857,80,RU,"July 24, 2018",93,52.25,40.45,69.42,9.42
blairmore,5903535,90,CA,"July 24, 2018",87,49.61,-114.44,55.4,5.82
san jose de rio tinto,3602066,40,HN,"July 23, 2018",83,14.93,-85.7,75.2,2.24
henderson,5505411,1,US,"July 23, 2018",24,36.04,-114.98,100.4,8.05
kawalu,1640902,0,ID,"July 24, 2018",57,-7.38,108.21,80.94,2.71
meulaboh,1214488,12,ID,"July 24, 2018",96,4.14,96.13,84.36,4.38
kintampo,2299625,48,GH,"July 24, 2018",94,8.05,-1.73,74.19,9.75
srednekolymsk,2121025,76,RU,"July 24, 2018",70,67.46,153.71,61.59,6.96
ouro preto do oeste,3924948,0,BR,"July 24, 2018",55,-10.75,-62.22,70.23,4.05
deputatskiy,2028164,12,RU,"July 24, 2018",70,69.3,139.9,46.56,8.41
skovorodino,2016443,36,RU,"July 24, 2018",67,53.99,123.94,68.34,3.49
saint-pierre,2995603,0,FR,"July 24, 2018",68,48.95,4.24,73.4,4.7
babati,161312,64,TZ,"July 24, 2018",82,-4.21,35.75,59.43,6.73
platteville,5267332,1,US,"July 23, 2018",100,42.73,-90.48,66.2,3.36
beringovskiy,2126710,12,RU,"July 24, 2018",89,63.05,179.32,57.81,7.96
dzhebariki-khaya,2024626,92,RU,"July 24, 2018",76,62.22,135.8,55.83,3.27
kichera,2022129,0,RU,"July 24, 2018",57,55.93,110.1,65.73,2.37
akureyri,2633274,90,IS,"July 23, 2018",93,65.68,-18.09,46.4,5.82
trimbak,1254177,92,IN,"July 24, 2018",100,19.93,73.53,72.39,11.65
inhambane,1045114,75,MZ,"July 23, 2018",64,-23.87,35.38,71.6,6.93
thinadhoo,1337610,92,MV,"July 24, 2018",100,0.53,72.93,76.35,19.82
khambhaliya,1267091,75,IN,"July 23, 2018",79,22.21,69.65,84.2,11.41
kalemie,214974,0,CD,"July 24, 2018",99,-5.95,29.2,72.84,18.7
sidi ali,2487130,32,DZ,"July 24, 2018",90,36.1,0.42,65.64,2.93
hay river,5972762,40,CA,"July 24, 2018",93,60.82,-115.79,46.4,3.49
daru,2409663,92,SL,"July 24, 2018",99,7.99,-10.85,71.94,5.39
mount hagen,2090409,40,PG,"July 23, 2018",44,-5.86,144.23,75.2,5.82
lata,1253628,92,IN,"July 24, 2018",100,30.78,78.62,62.94,1.7
houma,1784874,8,CN,"July 24, 2018",57,35.63,111.36,88.95,5.5
praia da vitoria,3372760,75,PT,"July 24, 2018",94,38.73,-27.07,69.8,13.0
ulaangom,1515029,76,MN,"July 24, 2018",35,49.98,92.07,73.38,6.85
vicente guerrero,3522507,8,MX,"July 24, 2018",98,16.93,-96.7,53.76,1.36
humberto de campos,3398428,32,BR,"July 24, 2018",94,-2.6,-43.46,79.86,12.21
kaeo,2189343,0,NZ,"July 24, 2018",80,-35.1,173.78,47.37,6.85
sayaxche,3588984,0,GT,"July 24, 2018",73,16.52,-90.17,73.02,4.72
douentza,2458334,12,ML,"July 24, 2018",92,15.01,-2.95,72.84,3.71
nantucket,4944903,90,US,"July 23, 2018",100,41.28,-70.1,73.4,10.29
amstetten,2782555,40,AT,"July 23, 2018",77,48.12,14.88,68.0,8.05
kimbe,2093967,92,PG,"July 24, 2018",100,-5.56,150.15,76.17,7.96
pilcaya,3817354,75,MX,"July 23, 2018",87,18.75,-99.67,53.6,3.38
manzanillo,3547867,48,CU,"July 24, 2018",100,20.34,-77.12,84.36,7.52
ati,2436400,20,TD,"July 24, 2018",72,13.21,18.34,81.03,12.44
adrar,2508813,0,DZ,"July 24, 2018",10,27.87,-0.29,91.4,10.29
labuhan,1641899,92,ID,"July 24, 2018",75,-2.54,115.51,83.01,3.6
yining,1786538,8,CN,"July 24, 2018",64,29.04,114.56,91.29,3.94
bilma,2446796,0,NE,"July 24, 2018",18,18.69,12.92,77.61,3.27
necochea,3430443,0,AR,"July 24, 2018",86,-38.55,-58.74,31.44,9.08
shingu,1847947,20,JP,"July 23, 2018",56,33.72,135.99,93.2,16.11
haysville,4272788,1,US,"July 23, 2018",64,37.56,-97.35,77.0,3.36
marsa matruh,352733,0,EG,"July 23, 2018",51,31.35,27.25,84.2,8.05
kosh-agach,1502422,8,RU,"July 24, 2018",48,49.99,88.66,63.03,10.98
bintulu,1737486,75,MY,"July 23, 2018",66,3.17,113.03,91.4,3.36
umea,602150,0,SE,"July 23, 2018",73,63.83,20.26,71.6,4.7
porto novo,6322184,40,BR,"July 23, 2018",93,-23.68,-45.44,57.2,2.24
sawakin,367544,76,SD,"July 24, 2018",62,19.1,37.33,89.67,18.7
kiunga,2093846,68,PG,"July 24, 2018",74,-6.12,141.3,83.46,2.82
seoul,1835848,75,KR,"July 23, 2018",44,37.57,126.98,98.6,10.29
intipuca,3585480,8,SV,"July 24, 2018",100,13.2,-88.05,81.21,4.38
dafeng,1813088,20,CN,"July 24, 2018",100,33.2,120.46,84.9,4.16
teya,3526662,5,MX,"July 23, 2018",78,21.05,-89.07,80.6,5.82
teahupoo,4033543,20,PF,"July 24, 2018",73,-17.83,-149.27,77.0,3.36
kafue,915883,0,ZM,"July 24, 2018",84,-15.74,28.18,54.84,10.65
nicoya,3622716,40,CR,"July 23, 2018",83,10.15,-85.45,77.0,3.36
shitanjing,1794971,0,CN,"July 24, 2018",75,39.23,106.34,75.27,3.04
ostersund,2685750,0,SE,"July 23, 2018",72,63.18,14.64,66.2,4.7
abay,1526970,90,KZ,"July 23, 2018",81,49.63,72.87,53.6,11.18
donegal,2964752,32,IE,"July 24, 2018",100,54.65,-8.11,54.66,9.08
marsh harbour,3571913,44,BS,"July 24, 2018",100,26.54,-77.06,83.37,18.48
lernapat,616530,0,AM,"July 23, 2018",46,40.82,44.39,71.6,1.12
wyndham,2639447,90,GB,"July 23, 2018",77,51.61,-3.54,66.2,5.82
alice springs,2077895,90,AU,"July 24, 2018",21,-23.7,133.88,78.8,6.93
imeni poliny osipenko,2023584,8,RU,"July 24, 2018",70,52.42,136.49,74.19,3.94
san cristobal,3652462,40,EC,"July 23, 2018",93,-0.39,-78.55,48.2,6.93
quzhou,1797264,24,CN,"July 24, 2018",67,28.97,118.86,90.84,3.38
nioro,2413070,8,GM,"July 24, 2018",91,13.79,-15.05,76.17,8.3
bonavista,5905393,76,CA,"July 24, 2018",98,48.65,-53.11,52.05,10.31
zelenogorskiy,1485284,90,RU,"July 23, 2018",87,55.03,87.0,60.8,8.95
eureka,5563397,90,US,"July 23, 2018",100,40.8,-124.16,51.8,4.16
byron bay,2172880,0,AU,"July 24, 2018",68,-28.65,153.62,66.2,11.41
vila velha,6320062,0,BR,"July 24, 2018",69,-3.71,-38.6,77.0,11.41
fuyang,1810846,40,CN,"July 23, 2018",59,30.05,119.96,95.0,4.47
minna,2330100,80,NG,"July 24, 2018",99,9.62,6.55,70.86,7.85
egvekinot,4031742,48,RU,"July 24, 2018",65,66.32,-179.17,59.43,6.51
sweetwater,5531968,1,US,"July 23, 2018",47,32.47,-100.41,80.6,6.93
ampanihy,1078553,0,MG,"July 24, 2018",75,-24.69,44.75,64.11,8.63
lingao,1803560,76,CN,"July 24, 2018",87,19.91,109.69,85.62,10.98
amnat charoen,1621060,88,TH,"July 24, 2018",80,15.86,104.63,85.71,11.65
iberia,3938531,0,PE,"July 24, 2018",91,-11.41,-69.49,66.99,2.04
paragominas,3393106,76,BR,"July 24, 2018",76,-3.0,-47.35,79.59,5.17
roebourne,2062276,0,AU,"July 24, 2018",23,-20.77,117.15,83.64,5.73
aktau,610612,40,KZ,"July 23, 2018",61,43.65,51.16,77.0,24.61
westport,2960970,75,IE,"July 23, 2018",87,53.8,-9.52,53.6,3.36
udachnyy,2014624,36,RU,"July 24, 2018",52,66.42,112.4,62.76,6.17
oktyabrskoye,1511846,92,RU,"July 24, 2018",56,56.73,85.44,66.54,5.5
merrill,5572979,90,US,"July 23, 2018",53,42.03,-121.6,73.4,6.93
sarangani,1687186,80,PH,"July 24, 2018",100,5.4,125.46,83.64,16.8
kishapu,156963,0,TZ,"July 24, 2018",64,-3.61,33.87,63.21,13.78
christchurch,2192362,88,NZ,"July 24, 2018",93,-43.53,172.64,41.0,5.82
saint anthony,5606187,1,US,"July 23, 2018",62,43.97,-111.68,59.0,4.7
carnarvon,1014034,8,ZA,"July 24, 2018",63,-30.97,22.13,44.76,10.98
butembo,217562,0,CD,"July 24, 2018",78,0.12,29.29,67.17,3.49
gari,1506676,8,RU,"July 24, 2018",56,59.43,62.35,79.68,3.94
cascais,2269594,75,PT,"July 24, 2018",88,38.7,-9.42,68.0,6.93
carnduff,5917349,0,CA,"July 24, 2018",48,49.17,-101.8,61.77,9.19
vagamo,3133053,0,NO,"July 24, 2018",77,61.88,9.1,56.19,2.37
peringat,1750582,75,MY,"July 23, 2018",70,5.99,102.3,87.8,10.29
launceston,2160517,75,AU,"July 24, 2018",93,-41.43,147.14,44.6,16.11
xifeng,2033866,24,CN,"July 24, 2018",72,42.73,124.72,86.16,5.17
aswan,359792,0,EG,"July 23, 2018",21,24.09,32.9,93.2,9.17
altinopolis,3472485,0,BR,"July 23, 2018",67,-21.03,-47.37,59.0,5.82
tonneins,2972468,0,FR,"July 24, 2018",83,44.39,0.31,69.8,2.24
baykit,1510689,80,RU,"July 24, 2018",100,61.68,96.39,53.31,4.16
bukama,217834,0,CD,"July 24, 2018",44,-9.2,25.85,66.0,12.44
sao jose da coroa grande,3388456,76,BR,"July 24, 2018",95,-8.9,-35.15,73.11,10.2
honiara,2108502,75,SB,"July 24, 2018",94,-9.43,159.96,77.0,8.05
pamekasan,1632978,0,ID,"July 24, 2018",74,-7.16,113.47,85.98,11.77
morant bay,3489440,40,JM,"July 24, 2018",74,17.88,-76.41,82.4,5.82
pio ix,3392020,0,BR,"July 24, 2018",63,-6.83,-40.61,68.97,12.66
eregli,315498,24,TR,"July 24, 2018",52,37.51,34.05,76.71,2.93
yuzhno-kurilsk,2119447,36,RU,"July 24, 2018",99,44.03,145.86,58.71,8.86
hanna,5970234,56,CA,"July 24, 2018",66,51.64,-111.93,60.24,7.96
esna,675840,68,RO,"July 24, 2018",96,45.2,27.57,72.12,6.4
visby,2662689,0,SE,"July 23, 2018",73,57.64,18.3,71.6,5.82
manta,685981,48,RO,"July 24, 2018",95,45.1,24.1,67.53,4.05
bosaso,64013,0,SO,"July 24, 2018",34,11.28,49.18,95.0,27.51
buique,3404766,0,BR,"July 24, 2018",96,-8.62,-37.16,62.94,9.98
axim,2303611,92,GH,"July 24, 2018",98,4.87,-2.24,77.43,11.54
pinar del rio,3544091,0,CU,"July 24, 2018",93,22.42,-83.7,72.66,1.36
cairns,2172797,75,AU,"July 24, 2018",61,-16.92,145.77,77.0,11.41
paita,3694112,36,PE,"July 24, 2018",94,-5.09,-81.11,64.11,4.16
golden,5962582,0,CA,"July 24, 2018",92,51.3,-116.96,42.96,1.59
vanimo,2084442,44,PG,"July 24, 2018",100,-2.67,141.3,83.64,8.97
sinnamary,3380290,36,GF,"July 24, 2018",98,5.38,-52.96,79.86,8.08
mangrol,1263751,92,IN,"July 24, 2018",100,25.33,76.51,81.21,8.41
chicama,3698359,40,PE,"July 23, 2018",93,-7.84,-79.15,62.6,6.93
quelimane,1028434,92,MZ,"July 24, 2018",81,-17.88,36.89,71.31,8.41
mahanoro,1062553,92,MG,"July 24, 2018",100,-19.9,48.8,63.39,3.83
iguape,3461465,92,BR,"July 24, 2018",100,-24.7,-47.56,63.48,7.4
narasannapeta,1261853,0,IN,"July 24, 2018",71,18.42,84.04,90.66,6.29
gravdal,3147822,75,NO,"July 23, 2018",82,59.79,5.78,64.4,12.75
barra de sao francisco,3470730,88,BR,"July 24, 2018",99,-18.75,-40.89,61.5,3.49
xai-xai,1024552,56,MZ,"July 24, 2018",100,-25.04,33.64,67.71,2.37
peniche,2264923,75,PT,"July 24, 2018",88,39.36,-9.38,68.0,6.93
voznesenye,471160,56,RU,"July 24, 2018",80,61.02,35.48,70.14,4.16
bijie,1816373,80,CN,"July 24, 2018",82,27.3,105.3,76.26,3.38
panguna,2088659,92,PG,"July 24, 2018",96,-6.32,155.48,77.07,2.37
qasigiannguit,3420768,92,GL,"July 23, 2018",87,68.82,-51.19,42.8,3.36
sinjar,174611,0,SY,"July 24, 2018",52,35.59,37.0,84.36,8.63
jumla,1283285,32,NP,"July 24, 2018",95,29.28,82.18,56.19,0.92
chumikan,2025256,0,RU,"July 24, 2018",83,54.72,135.31,59.61,4.38
pangody,1495626,8,RU,"July 24, 2018",48,65.85,74.49,70.14,4.72
mount gambier,2156643,44,AU,"July 24, 2018",83,-37.83,140.78,53.22,11.54
stonewall,6157355,5,CA,"July 24, 2018",82,50.13,-97.33,57.2,10.29
gamba,1281256,64,CN,"July 24, 2018",100,28.28,88.52,36.66,1.03
boden,606531,0,SE,"July 23, 2018",69,65.83,21.69,75.2,5.82
inta,1505579,0,RU,"July 24, 2018",54,66.04,60.13,78.33,5.73
atasu,1526041,92,KZ,"July 24, 2018",64,48.68,71.64,59.34,15.46
siderno,6540819,20,IT,"July 23, 2018",78,38.28,16.3,78.8,10.29
tchibanga,2396253,80,GA,"July 24, 2018",93,-2.92,11.0,67.89,3.94
celestun,3531368,0,MX,"July 24, 2018",99,20.87,-90.4,82.83,12.21
henties bay,3356832,0,NA,"July 24, 2018",55,-22.12,14.28,69.6,19.37
